plant_id,name,temperature,soil_moisture,last_watered,recording_taken,latitude,longitude,origin_city,origin_country,botanist_name,botanist_email,botanist_phone,scientific_name
17,Ipomoea Batatas,15.784738489371613,88.60759723593287,2025-09-22T13:10:19.000Z,2025-09-22T16:22:39.504Z,-81.6237,158.4221,Herzogland,Jamaica,Lucas Quitzon,lucas.quitzon@lnhm.co.uk,(400) 791-2051 x0032,Ipomoea batatas
18,Manihot Esculenta ‘Variegata’,12.51367898055427,94.13476901140685,2025-09-22T14:39:50.000Z,2025-09-22T16:22:40.223Z,21.299,42.0051,Miramar,Congo,Earnest Stanton,earnest.stanton@lnhm.co.uk,1-849-419-7923 x487,
19,Musa Basjoo,12.79753420880423,94.41022571692876,2025-09-22T14:41:59.000Z,2025-09-22T16:22:41.546Z,-69.713,175.4523,Port Jennings,Macao,Helen Stracke,helen.stracke@lnhm.co.uk,1-219-392-5283,Musa basjoo
20,Salvia Splendens,15.206964281361676,92.74867157313707,2025-09-22T14:11:20.000Z,2025-09-22T16:22:42.194Z,-79.3405,152.5746,Oceanside,Egypt,Bernice Schulist,bernice.schulist@lnhm.co.uk,516.311.7225,Salvia splendens
21,Anthurium,13.941737297563899,89.40385130111524,2025-09-22T13:12:41.000Z,2025-09-22T16:22:42.456Z,85.3837,-108.5995,Hollisfurt,China,Oscar Schinner-Little,oscar.schinner-little@lnhm.co.uk,570-593-4399 x49703,Anthurium andraeanum
22,Bird of Paradise,14.850419572263222,88.73192026266416,2025-09-22T13:02:31.000Z,2025-09-22T16:22:42.773Z,34.8822,-37.76,Joaquinton,Pitcairn Islands,Ms. Ashley Stracke,ms..ashley.stracke@lnhm.co.uk,1-666-690-3171 x152,Heliconia schiedeana 'Fire and Ice'
23,Cordyline Fruticosa,13.722219111090915,88.29393170731707,2025-09-22T13:02:45.000Z,2025-09-22T16:22:43.720Z,64.0127,-125.5911,New Glenda,Sweden,Clifton Brekke,clifton.brekke@lnhm.co.uk,(889) 712-9685 x61463,Cordyline fruticosa
24,Ficus,13.887244774777571,94.58112903225806,2025-09-22T14:47:33.000Z,2025-09-22T16:22:44.490Z,-17.3909,-81.7968,Adamshaven,Italy,Dr. Phillip Lind,dr..phillip.lind@lnhm.co.uk,(889) 896-3821,Ficus carica
25,Palm Trees,14.861829840303566,93.93816933207903,2025-09-22T14:35:22.000Z,2025-09-22T16:22:45.726Z,3.58,36.6064,Laronburgh,Wallis and Futuna,Dallas Terry,dallas.terry@lnhm.co.uk,489-414-1969 x514,
26,Dieffenbachia Seguine,14.410970241419951,92.64509360518998,2025-09-22T14:10:30.000Z,2025-09-22T16:22:45.944Z,-38.6402,166.9358,South Nyasia,Guernsey,Jacquelyn Quigley,jacquelyn.quigley@lnhm.co.uk,1-672-222-8133 x105,Dieffenbachia seguine
27,Spathiphyllum,13.395024629167255,93.77077164605137,2025-09-22T14:33:40.000Z,2025-09-22T16:22:46.919Z,-34.7829,54.2456,South Dawn,Bosnia and Herzegovina,Wendy Swift,wendy.swift@lnhm.co.uk,(774) 986-4550 x796,Spathiphyllum (group)
28,Croton,15.323528434659602,91.28761553211889,2025-09-22T13:51:21.000Z,2025-09-22T16:22:48.017Z,80.1723,89.3708,Greenholtland,Senegal,Sadie Romaguera,sadie.romaguera@lnhm.co.uk,(415) 921-6221 x26702,Codiaeum variegatum
29,Aloe Vera,16.91654633474621,91.4324391829155,2025-09-22T13:49:02.000Z,2025-09-22T16:22:49.263Z,-80.3481,45.8024,Potomac,Palau,Carolyn Jakubowski,carolyn.jakubowski@lnhm.co.uk,464.539.9779,Aloe vera
30,Ficus Elastica,14.738614270261259,90.01968762278979,2025-09-22T13:33:30.000Z,2025-09-22T16:22:49.958Z,22.6292,-31.0999,Portsmouth,Saint Martin,Leroy Hudson,leroy.hudson@lnhm.co.uk,872-709-8943 x15830,Ficus elastica
31,Sansevieria Trifasciata,116.55673292256498,92.30463844621514,2025-09-22T14:14:04.000Z,2025-09-22T16:22:50.143Z,-37.6215,-72.1543,Ottomouth,Egypt,Darrel Lesch,darrel.lesch@lnhm.co.uk,975-666-9644 x58578,Sansevieria trifasciata
32,Philodendron Hederaceum,16.313129839727363,90.89424720149253,2025-09-22T13:40:10.000Z,2025-09-22T16:22:51.367Z,10.0446,166.9654,Steuberfurt,Cameroon,Helen Waters,helen.waters@lnhm.co.uk,1-520-943-3657 x23140,Philodendron hederaceum
33,Schefflera Arboricola,15.953968578238378,89.5493704735376,2025-09-22T13:15:17.000Z,2025-09-22T16:22:52.328Z,-58.3733,6.5244,Cutler Bay,Mexico,Marty Lang,marty.lang@lnhm.co.uk,1-539-229-4058,Schefflera arboricola
34,Aglaonema Commutatum,12.480085419521538,93.19258371454711,2025-09-22T14:18:52.000Z,2025-09-22T16:22:52.506Z,-59.666,22.1729,New Danika,Western Sahara,Betty Kreiger,betty.kreiger@lnhm.co.uk,(430) 985-1362 x54710,Aglaonema commutatum
35,Monstera Deliciosa,15.856302122393906,94.83731372549019,2025-09-22T14:55:08.000Z,2025-09-22T16:22:53.940Z,8.8125,-146.1691,Clearwater,Yemen,Jorge Torp,jorge.torp@lnhm.co.uk,312.868.8819 x8410,Monstera deliciosa
36,Tacca Integrifolia,12.800189435596442,91.70172165898617,2025-09-22T13:52:51.000Z,2025-09-22T16:22:54.632Z,87.3702,-65.8502,South Armani,Puerto Rico,Henrietta Gleichner,henrietta.gleichner@lnhm.co.uk,(879) 206-9116 x8935,Tacca integrifolia
37,Psychopsis Papilio,16.853525652166898,92.46932214765101,2025-09-22T14:12:01.000Z,2025-09-22T16:22:55.497Z,-40.9469,-17.7032,Port Fredrick,Russian Federation,Patricia Howell,patricia.howell@lnhm.co.uk,1-886-335-2758 x2333,
38,Saintpaulia Ionantha,15.022314832258747,89.32301357904947,2025-09-22T13:19:28.000Z,2025-09-22T16:22:55.973Z,83.5292,-30.8766,Peoria,Greece,Santiago Ortiz,santiago.ortiz@lnhm.co.uk,(770) 924-1572 x884,Saintpaulia ionantha
39,Gaillardia,14.244689003588306,89.61919860279441,2025-09-22T13:29:36.000Z,2025-09-22T16:22:57.563Z,-7.7324,-109.3082,Littlehaven,Saint Vincent and the Grenadines,Lindsay Feest,lindsay.feest@lnhm.co.uk,(590) 404-7387 x7681,Gaillardia aestivalis
40,Amaryllis,16.061887931007224,95.05585922330097,2025-09-22T14:58:06.000Z,2025-09-22T16:22:58.465Z,89.6714,-61.2803,South Hectorstead,Puerto Rico,Sandra Pfeffer,sandra.pfeffer@lnhm.co.uk,1-944-604-9635 x77682,Hippeastrum (group)
41,Caladium Bicolor,16.55452150640917,93.46452555448408,2025-09-22T14:30:02.000Z,2025-09-22T16:22:59.287Z,87.938,-128.8359,Ernserworth,Nigeria,Darin Friesen-Stark MD,darin.friesen-stark.md@lnhm.co.uk,734-212-1797 x507,Caladium bicolor
42,Chlorophytum Comosum,12.90630895155535,94.17095899347623,2025-09-22T14:38:45.000Z,2025-09-22T16:22:59.561Z,-73.4156,74.927,Buffalo Grove,Peru,Kristin Lakin V,kristin.lakin.v@lnhm.co.uk,(903) 973-1504 x9409,Chlorophytum comosum 'Vittatum'
44,Araucaria Heterophylla,14.945491864675882,93.22571454880294,2025-09-22T14:20:23.000Z,2025-09-22T16:22:59.874Z,23.114,-108.7315,Catonsville,Cyprus,Dr. Camille Kreiger,dr..camille.kreiger@lnhm.co.uk,1-288-382-3655 x5892,Araucaria heterophylla
45,Begonia,16.806596247834644,90.5122571692877,2025-09-22T13:32:05.000Z,2025-09-22T16:23:01.250Z,14.31,21.8921,South Julianview,Heard Island and McDonald Islands,Nathan Kuhic,nathan.kuhic@lnhm.co.uk,(470) 586-3930 x591,Begonia 'Art Hodes'
47,Calliandra Haematocephala,11.818022171894638,92.10707285714285,2025-09-22T14:50:57.000Z,2025-09-22T16:23:02.049Z,83.9217,-148.5469,Gavinstad,Jersey,Vicky Leuschke,vicky.leuschke@lnhm.co.uk,(462) 735-6685 x8065,Calliandra haematocephala
48,Zamioculcas Zamiifolia,14.474655589664415,92.46055315145814,2025-09-22T14:09:29.000Z,2025-09-22T16:23:03.432Z,-82.1806,-72.4879,Lake Norbertstead,Greenland,Bob Hartmann,bob.hartmann@lnhm.co.uk,408-747-3878 x32922,Zamioculcas zamiifolia
49,Crassula Ovata,16.71743437953853,92.51242144177449,2025-09-22T14:08:03.000Z,2025-09-22T16:23:04.560Z,15.7997,148.993,Ginaberg,Togo,Dr. Jacob Glover,dr..jacob.glover@lnhm.co.uk,705-893-6693 x509,Crassula ovata
50,Epipremnum Aureum,14.706870282685783,93.240154,2025-09-22T14:30:25.000Z,2025-09-22T16:23:04.846Z,-62.6313,18.6216,Joanyland,Antigua and Barbuda,Peter Hartmann,peter.hartmann@lnhm.co.uk,(718) 765-2084 x0261,Epipremnum aureum
